phase,action_type,edge
early,do,"('J45.9', 'R07.9')"
early,do,"('J45.9', 'S06.0X0A')"
early,do,"('J45.9', 'K21.9')"
early,do,"('J45.9', 'U07.1')"
early,do,"('J45.9', 'B20')"
early,do,"('J45.9', 'P07.30')"
early,do,"('J45.9', 'G43.9')"
early,do,"('J45.9', 'T14.91')"
early,do,"('R07.9', 'T14.91')"
early,do,"('R07.9', 'P07.30')"
early,do,"('R07.9', 'G40.9')"
early,do,"('R07.9', 'Q21.1')"
early,do,"('R07.9', 'F80.9')"
early,do,"('R07.9', 'L03.90')"
early,do,"('R07.9', 'S06.0X0A')"
early,do,"('R07.9', 'J18.9')"
early,do,"('R07.9', 'N39.0')"
early,do,"('Q21.1', 'E11.9')"
early,do,"('Q21.1', 'G40.9')"
early,do,"('Q21.1', 'Z51.11')"
early,do,"('Q21.1', 'N39.0')"
early,do,"('Q21.1', 'J18.9')"
early,do,"('Q21.1', 'S06.0X0A')"
early,do,"('Q21.1', 'P07.30')"
early,do,"('Q21.1', 'T14.91')"
early,do,"('Q21.1', 'A41.9')"
early,do,"('E11.9', 'U07.1')"
early,do,"('E11.9', 'M54.5')"
early,do,"('E11.9', 'F80.9')"
early,do,"('E11.9', 'L03.90')"
early,do,"('E11.9', 'G40.9')"
early,do,"('E11.9', 'N39.0')"
early,do,"('A41.9', 'J18.9')"
early,do,"('A41.9', 'N39.0')"
early,do,"('A41.9', 'I21.9')"
early,do,"('A41.9', 'T14.91')"
early,do,"('A41.9', 'K35.80')"
early,do,"('A41.9', 'G43.9')"
early,do,"('A41.9', 'A41.9')"
early,do,"('A41.9', 'G30.0')"
early,do,"('A41.9', 'S06.0X0A')"
early,do,"('J18.9', 'I10')"
early,do,"('J18.9', 'K35.80')"
early,do,"('J18.9', 'S06.0X0A')"
early,do,"('J18.9', 'N39.0')"
early,do,"('J18.9', 'B20')"
early,do,"('J18.9', 'G30.0')"
early,do,"('J18.9', 'L03.90')"
early,do,"('J18.9', 'Z51.11')"
early,do,"('L03.90', 'S06.0X0A')"
early,do,"('L03.90', 'I21.9')"
early,do,"('L03.90', 'N39.0')"
early,do,"('L03.90', 'P07.30')"
early,do,"('L03.90', 'G40.9')"
early,do,"('L03.90', 'K35.80')"
early,do,"('S06.0X0A', 'T14.91')"
early,do,"('S06.0X0A', 'M54.5')"
early,do,"('S06.0X0A', 'U07.1')"
early,do,"('S06.0X0A', 'B20')"
early,do,"('S06.0X0A', 'K21.9')"
early,do,"('S06.0X0A', 'K35.80')"
early,do,"('N39.0', 'F80.9')"
early,do,"('N39.0', 'M54.5')"
early,do,"('N39.0', 'G40.9')"
early,do,"('N39.0', 'I21.9')"
early,do,"('N39.0', 'G30.0')"
early,do,"('F80.9', 'U07.1')"
early,do,"('F80.9', 'Z51.11')"
early,do,"('F80.9', 'K35.80')"
early,do,"('K35.80', 'I10')"
early,do,"('K35.80', 'I21.9')"
early,do,"('K35.80', 'U07.1')"
early,do,"('K35.80', 'G40.9')"
early,do,"('I10', 'K21.9')"
early,do,"('I10', 'G30.0')"
early,do,"('I10', 'T14.91')"
early,do,"('I10', 'G43.9')"
early,do,"('G40.9', 'G40.9')"
early,do,"('G40.9', 'G43.9')"
early,do,"('G40.9', 'T14.91')"
early,do,"('G40.9', 'I21.9')"
early,do,"('G40.9', 'Z51.11')"
early,do,"('Z51.11', 'K21.9')"
early,do,"('Z51.11', 'I21.9')"
early,do,"('Z51.11', 'T14.91')"
early,do,"('Z51.11', 'G43.9')"
early,do,"('Z51.11', 'G30.0')"
early,do,"('I21.9', 'I21.9')"
early,do,"('I21.9', 'U07.1')"
early,do,"('I21.9', 'G43.9')"
early,do,"('T14.91', 'G43.9')"
early,do,"('T14.91', 'B20')"
early,do,"('T14.91', 'G30.0')"
early,do,"('T14.91', 'M54.5')"
early,do,"('G43.9', 'K21.9')"
early,do,"('G43.9', 'M54.5')"
early,do,"('K21.9', 'M54.5')"
